"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 18 23:55:00 KRAT 2021","Wed Aug 18 23:55:02 KRAT 2021","2108","Test","test_add_group","","","","test_add_group[None:nameTt_headersG**:asfooterrK@Z]",""
"passed","Wed Aug 18 23:54:51 KRAT 2021","Wed Aug 18 23:54:53 KRAT 2021","1589","Test","test_add_group","","","","test_add_group[None:nameg1kwheaderff%Q(@7>NfooterEnplJkngJ]",""
"passed","Wed Aug 18 23:55:23 KRAT 2021","Wed Aug 18 23:55:24 KRAT 2021","1647","Test","test_del_group","","","","test_delete_some_group",""
"passed","Wed Aug 18 23:54:43 KRAT 2021","Wed Aug 18 23:54:46 KRAT 2021","2695","Test","test_add_contact","","","","test_add_contact[None, firstnamegU^!, lastname]",""
"passed","Wed Aug 18 23:55:10 KRAT 2021","Wed Aug 18 23:55:21 KRAT 2021","10887","Test","test_contacts_in_groups","","","","test_delete_contact_from_group",""
"passed","Wed Aug 18 23:55:07 KRAT 2021","Wed Aug 18 23:55:10 KRAT 2021","2533","Test","test_contacts_in_groups","","","","test_add_contact_into_group",""
"passed","Wed Aug 18 23:55:21 KRAT 2021","Wed Aug 18 23:55:23 KRAT 2021","1724","Test","test_del_contact","","","","test_del_some_contact",""
"passed","Wed Aug 18 23:55:27 KRAT 2021","Wed Aug 18 23:55:30 KRAT 2021","2258","Test","test_edit_group","","","","test_edit_group_name",""
"passed","Wed Aug 18 23:54:55 KRAT 2021","Wed Aug 18 23:54:57 KRAT 2021","2378","Test","test_add_group","","","","test_add_group[None:namewheaderd2JYfooterbR]",""
"passed","Wed Aug 18 23:54:41 KRAT 2021","Wed Aug 18 23:54:43 KRAT 2021","2440","Test","test_add_contact","","","","test_add_contact[None, firstname}`/Q9XYU, lastname2SFAe]",""
"passed","Wed Aug 18 23:54:57 KRAT 2021","Wed Aug 18 23:55:00 KRAT 2021","2503","Test","test_add_group","test_add_group[None:nameL4t|Ks?headerm.K4""","","","test_add_group[None:nameL4t|Ks?headerm.K4""::footerFpWeMrr)]",""
"passed","Wed Aug 18 23:54:31 KRAT 2021","Wed Aug 18 23:54:34 KRAT 2021","3037","Test","test_add_contact","","","","test_add_contact[None, , ]",""
"passed","Wed Aug 18 23:55:21 KRAT 2021","Wed Aug 18 23:55:21 KRAT 2021","7","Test","test_db_matches_ui","","","","test_group_list",""
"passed","Wed Aug 18 23:55:24 KRAT 2021","Wed Aug 18 23:55:27 KRAT 2021","2655","Test","test_edit_contact","","","","test_edit_some_contact",""
"passed","Wed Aug 18 23:54:35 KRAT 2021","Wed Aug 18 23:54:37 KRAT 2021","2527","Test","test_add_contact","","","","test_add_contact[None, firstnameK, lastname[q*=+bT5]",""
"passed","Wed Aug 18 23:54:46 KRAT 2021","Wed Aug 18 23:54:48 KRAT 2021","2064","Test","test_add_contact","","","","test_add_contact[None, firstnamerjo, lastnameP1|]",""
"passed","Wed Aug 18 23:54:38 KRAT 2021","Wed Aug 18 23:54:40 KRAT 2021","2614","Test","test_add_contact","","","","test_add_contact[None, firstnames)KqBC-, lastnamesq]",""
"passed","Wed Aug 18 23:54:53 KRAT 2021","Wed Aug 18 23:54:55 KRAT 2021","1831","Test","test_add_group","","","","test_add_group[None:nameCy)Vheader%9t%T8e|(footer_=]",""
"passed","Wed Aug 18 23:55:02 KRAT 2021","Wed Aug 18 23:55:04 KRAT 2021","1984","Test","test_contact_on_home_and_edit_page","","","","test_info_on_homepage_and_db",""
"passed","Wed Aug 18 23:55:05 KRAT 2021","Wed Aug 18 23:55:07 KRAT 2021","2265","Test","test_contact_on_home_and_edit_page","","","","test_info_on_home_and_edit_page",""
"passed","Wed Aug 18 23:54:48 KRAT 2021","Wed Aug 18 23:54:51 KRAT 2021","2496","Test","test_add_group","","","","test_add_group[None:123]",""
